id,date,title,category,assignee,status,due
"SD-001","2026-09-15T09:00","Диагностика оборудования · заявка 1","Ремонт","Менеджер А","Новая","2026-09-17T10:00"
"SD-002","2026-09-15T10:00","Уточнить срок ремонта · заявка 2","Консультация","Менеджер Б","В работе","2026-09-17T11:00"
"SD-003","2026-09-15T11:00","Замена комплектующих · заявка 3","Гарантия","Менеджер В","В работе","2026-09-17T12:00"
"SD-004","2026-09-15T12:00","Повторная настройка · заявка 4","Настройка","Менеджер А","Решена","2026-09-17T13:00"
"SD-005","2026-09-15T13:00","Вопрос по обслуживанию · заявка 5","Обслуживание","Менеджер Б","Новая","2026-09-17T14:00"
"SD-006","2026-09-16T14:00","Проверка подключения · заявка 6","Ремонт","Менеджер В","В работе","2026-09-18T15:00"
"SD-007","2026-09-16T15:00","Согласовать выезд мастера · заявка 7","Консультация","Менеджер А","Решена","2026-09-18T16:00"
"SD-008","2026-09-16T16:00","Обновление программного обеспечения · заявка 8","Гарантия","Менеджер Б","Отменена","2026-09-18T17:00"
"SD-009","2026-09-16T09:00","Проверить результат ремонта · заявка 9","Настройка","Менеджер В","В работе","2026-09-18T10:00"
"SD-010","2026-09-16T10:00","Настроить рабочее место · заявка 10","Обслуживание","Менеджер А","Новая","2026-09-18T11:00"
"SD-011","2026-09-17T11:00","Диагностика оборудования · заявка 11","Ремонт","Менеджер Б","Новая","2026-09-19T12:00"
"SD-012","2026-09-17T12:00","Уточнить срок ремонта · заявка 12","Консультация","Менеджер В","В работе","2026-09-19T13:00"
"SD-013","2026-09-17T13:00","Замена комплектующих · заявка 13","Гарантия","Менеджер А","В работе","2026-09-19T14:00"
"SD-014","2026-09-17T14:00","Повторная настройка · заявка 14","Настройка","Менеджер Б","Решена","2026-09-19T15:00"
"SD-015","2026-09-17T15:00","Вопрос по обслуживанию · заявка 15","Обслуживание","Менеджер В","Новая","2026-09-19T16:00"
"SD-016","2026-09-18T16:00","Проверка подключения · заявка 16","Ремонт","Менеджер А","В работе","2026-09-20T17:00"
"SD-017","2026-09-18T09:00","Согласовать выезд мастера · заявка 17","Консультация","Менеджер Б","Решена","2026-09-20T10:00"
"SD-018","2026-09-18T10:00","Обновление программного обеспечения · заявка 18","Гарантия","Менеджер В","Отменена","2026-09-20T11:00"
"SD-019","2026-09-18T11:00","Проверить результат ремонта · заявка 19","Настройка","Менеджер А","В работе","2026-09-20T12:00"
"SD-020","2026-09-18T12:00","Настроить рабочее место · заявка 20","Обслуживание","Менеджер Б","Новая","2026-09-20T13:00"
"SD-021","2026-09-19T13:00","Диагностика оборудования · заявка 21","Ремонт","Менеджер В","Новая","2026-09-21T14:00"
"SD-022","2026-09-19T14:00","Уточнить срок ремонта · заявка 22","Консультация","Менеджер А","В работе","2026-09-21T15:00"
"SD-023","2026-09-19T15:00","Замена комплектующих · заявка 23","Гарантия","Менеджер Б","В работе","2026-09-21T16:00"
"SD-024","2026-09-19T16:00","Повторная настройка · заявка 24","Настройка","Менеджер В","Решена","2026-09-21T17:00"
"SD-025","2026-09-19T09:00","Вопрос по обслуживанию · заявка 25","Обслуживание","Менеджер А","Новая","2026-09-21T10:00"
"SD-026","2026-09-20T10:00","Проверка подключения · заявка 26","Ремонт","Менеджер Б","В работе","2026-09-22T11:00"
"SD-027","2026-09-20T11:00","Согласовать выезд мастера · заявка 27","Консультация","Менеджер В","Решена","2026-09-22T12:00"
"SD-028","2026-09-20T12:00","Обновление программного обеспечения · заявка 28","Гарантия","Менеджер А","Отменена","2026-09-22T13:00"
"SD-029","2026-09-20T13:00","Проверить результат ремонта · заявка 29","Настройка","Менеджер Б","В работе","2026-09-22T14:00"
"SD-030","2026-09-20T14:00","Настроить рабочее место · заявка 30","Обслуживание","Менеджер В","Новая","2026-09-22T15:00"
